 ,reviewer,,author,categorization_mutono,year of publication,title,journal,volume issue,pages,country of focus,OCP,country programme,subnational area,Year data was collected,study population,population sample size,ecological features,vector species,baseline microfilarial prevalence,Baseline Community Microfialrial Load,baseline annual transmission potential,baseline nodule prevalence,baseline vector biting rate,MDA of ivermectin,vector control (Yes/No),Method of vector control (aerial larviciding or ground larviciding),vector elimination achieved (Yes.No),year ivermectin MDA started,year vector control started,number of years of ivermectin control,number of years of vector control,treatment frequency,year of change of frequency,geographical coverage,therapeutic coverage,year therapeutic coverage was more than 80,proportion compliance,proportion not adherening,Final outcome,type of elimination achieved,How elimination was verified,nodular prevalence,method nodular prevalence was measured,microfilarial prevalence ,How prevalence was calculated,No.of positive/no.of people tested for prevalence,Community Microfialrial Load,method microfilarial prevalence was measured,method used to confirm skin snip,Ov16 seropositivity in children,samples_collected_for_ov16,Poolscreen PCR testing,Dissection of vector population samples,fly infectivity rate,No.flies tested,other important data collected,co_endemicity,comments,MDA halted,atp,abr,years_biannual,years_over80
E1,Anita,,Mmbando et al,,2019,"Prevalence of onchocerciasis and associated epilepsy in six villages endemic for onchocerciasis in mahenge, Tanzania",Trans R Soc Trop Med Hyg,113;NA,5153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Article not found,,,,,
E2,Mutono,,Sy et al,,2020,Onchocerciasis elimination in Senegal: Status and potential cross border challenges,American Journal of Tropical Medicine and Hygiene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,Ananthu,,Kargbo-Labour et al,,2019,A century of onchocerciasis in Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correct links unavailable; 
Article not found ",,,,,
E4,Njoki,,Adamou et al,,2020,Interruption of onchocerciasis transmission in Niger,Am J Trop Med Hyg,103:03:00,281,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full paper not available,,,,,
E5,Njoki,,"Kalinga, A. and Ishengoma, D. and Kaitaba, O. and Nshala, A. and Kailembo, D. and Gass, K. and Won, K. and Misago, S. and Martin, P. and Lorry, V. and Mwingira, U.",,2020,"Onchocerciasis vectors and transmission status of onchocerca volvulus after 17 years of mass drug administration with ivermectin in muheza district, tanga focus in Tanzania",Am J Trop Med Hyg,103:05:00,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conference abstract,,,,,
E5,Ananthu,,Kargbo-Labour et al,,2019,A century of onchocerciasis in Sierra Leone,Asian Pac J Trop Med,12:13,24,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full paper not available,,,,,
,Anita,,"Diawara, L.",,1998,Onchocerciasis control in Senegal: evaluation of 10 years of control,Cahiers Sante,8;1,32-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This paper is in French. Maria-Gloria and Wilma will assist in extracing the data,,,,,
EE1,Anita,,Garms et al,,2009,The elimination of the vector Simulium neavei from the Itwara onchocerciasis focus in Uganda by ground larviciding,Acta Tropica,111;3,203-210,Uganda,,,Itwara focus,1991-2003*,,,,Simulium neavei,,,,,,Yes,Yes,Ground larviciding,Yes,1991,1995,,8,Bi-annual,Bi-annual MDA was introduced in 2007,100%,62-83%,,,,,Interrupted transmission of oncho,,,,,,,,,,,,,Yes,,,,,This study focused more on the impact of vector control,,,,,
EE2,Anita,,Ndyomugyenyi et al,,2007,"Progress towards the elimination of onchocerciasis as a public-health problem in Uganda: Opportunities, challenges and the way forward",Annals of Tropical Medicine & Parasitology,101;4,323-333,Uganda,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The paper only gives an account of opportunities, challenges, and way forward",,,,,
EE3,Anita,,Gebrezgabiher et al,,2020,"Status of parasitological indicators and morbidity burden of onchocerciasis after years of successive implementation of mass distribution of ivermectin in selected communities of Yeki and Asosa districts, Ethiopia",BMC Public Health,20;1,1233,Ethiopia,APOC,National elimination program,Asosa,2017-2018,>=15 years,1567,Hilly & densely forested,,19.40%,,,1.70%,,Yes,,,,2013,,5,,Bi-annual,,,,,,,,,,1.90%,Nodule examination,1.60%,No. positive / number examined *100,,0.03 mf/s,Skin snip assessment,,,,,,,,,,MDA has been done for 5 years,,,,,
